"time","AEX-INDEX","volume"
"1999-01-04","558.95","0"
"1999-01-05","566.51","0"
"1999-01-06","583.66","0"
"1999-01-07","561.08","0"
"1999-01-08","559.27","0"
"1999-01-11","545.77","0"
"1999-01-12","536.24","0"
"1999-01-13","507.29","0"
"1999-01-14","514.11","0"
"1999-01-15","528.57","0"
"1999-01-18","544.21","0"
"1999-01-19","548.88","0"
"1999-01-20","553.18","0"
"1999-01-21","543.79","0"
"1999-01-22","518.73","0"
"1999-01-25","525.36","0"
"1999-01-26","526.64","0"
"1999-01-27","531.59","0"
"1999-01-28","538.98","0"
"1999-01-29","532.09","0"
"1999-02-01","540.01","0"
"1999-02-02","532.79","0"
"1999-02-03","527.12","0"
"1999-02-04","531.27","0"
"1999-02-05","534.36","0"
"1999-02-08","528.24","0"
"1999-02-09","518.06","0"
"1999-02-10","512.49","0"
"1999-02-11","518.07","0"
"1999-02-12","523.33","0"
"1999-02-15","523.31","0"
"1999-02-16","522.84","0"
"1999-02-17","514.15","0"
"1999-02-18","512.19","0"
"1999-02-19","517.63","0"
"1999-02-22","528.31","0"
"1999-02-23","536.69","0"
"1999-02-24","538.84","0"
"1999-02-25","534.51","0"
"1999-02-26","536.12","0"
"1999-03-01","527.31","0"
"1999-03-02","526.09","0"
"1999-03-03","519.16","0"
"1999-03-04","515.92","0"
"1999-03-05","529.54","0"
"1999-03-08","525.52","0"
"1999-03-09","522.27","0"
"1999-03-10","520.66","0"
"1999-03-11","527.58","0"
"1999-03-12","533.02","0"
"1999-03-15","535.05","0"
"1999-03-16","540.64","0"
"1999-03-17","539.97","0"
"1999-03-18","537.59","0"
"1999-03-19","547.17","0"
"1999-03-22","544.27","0"
"1999-03-23","532.68","0"
"1999-03-24","525.73","0"
"1999-03-25","533.98","0"
"1999-03-26","525.56","0"
"1999-03-29","534.56","0"
"1999-03-30","534.4","0"
"1999-03-31","536.93","0"
"1999-04-01","533.63","0"
"1999-04-06","536.34","0"
"1999-04-07","542.55","0"
"1999-04-08","537.67","0"
"1999-04-09","537.73","0"
"1999-04-12","536.17","0"
"1999-04-13","540.99","0"
"1999-04-14","543.6","0"
"1999-04-15","542.2","0"
"1999-04-16","548.44","0"
"1999-04-19","559.39","0"
"1999-04-20","549.62","0"
"1999-04-21","555.21","0"
"1999-04-22","561.56","0"
"1999-04-23","561.23","0"
"1999-04-26","565.78","0"
"1999-04-27","574.41","0"
"1999-04-28","575.53","0"
"1999-04-29","573.52","0"
"1999-05-03","575.77","0"
"1999-05-04","578.67","0"
"1999-05-05","570.08","0"
"1999-05-06","564.56","0"
"1999-05-07","565.94","0"
"1999-05-10","562","0"
"1999-05-11","559.77","0"
"1999-05-12","556.84","0"
"1999-05-14","552.15","0"
"1999-05-17","543.84","0"
"1999-05-18","550.2","0"
"1999-05-19","558","0"
"1999-05-20","564.89","0"
"1999-05-21","567.17","0"
"1999-05-25","560.94","0"
"1999-05-26","559.9","0"
"1999-05-27","553.13","0"
"1999-05-28","552.38","0"
"1999-05-31","554.06","0"
"1999-06-01","553.19","0"
"1999-06-02","556.56","0"
"1999-06-03","564.03","0"
"1999-06-04","566.53","0"
"1999-06-07","568.48","0"
"1999-06-08","566.7","0"
"1999-06-09","568.74","0"
"1999-06-10","564.28","0"
"1999-06-11","567.44","0"
"1999-06-14","565.63","0"
"1999-06-15","565.43","0"
"1999-06-16","570.73","0"
"1999-06-17","572.81","0"
"1999-06-18","576.03","0"
"1999-06-21","582.72","0"
"1999-06-22","577.68","0"
"1999-06-23","571.9","0"
"1999-06-24","567.12","0"
"1999-06-25","561.65","0"
"1999-06-28","563.72","0"
"1999-06-29","565.55","0"
"1999-06-30","561.19","0"
"1999-07-01","570.46","0"
"1999-07-02","572.02","0"
"1999-07-05","582.05","0"
"1999-07-06","581.26","0"
"1999-07-07","579.01","0"
"1999-07-08","578.79","0"
"1999-07-09","586.89","0"
"1999-07-12","588.35","0"
"1999-07-13","582.17","0"
"1999-07-14","589.37","0"
"1999-07-15","594.34","0"
"1999-07-16","588.63","0"
"1999-07-19","588.87","0"
"1999-07-20","575.25","0"
"1999-07-21","567.73","0"
"1999-07-22","559.49","0"
"1999-07-23","556.43","0"
"1999-07-26","548.55","0"
"1999-07-27","551.43","0"
"1999-07-28","556.18","0"
"1999-07-29","546.06","0"
"1999-07-30","552.77","0"
"1999-08-02","544.25","0"
"1999-08-03","539.93","0"
"1999-08-04","540.68","0"
"1999-08-05","529.02","0"
"1999-08-06","535.1","0"
"1999-08-09","543.39","0"
"1999-08-10","536.79","0"
"1999-08-11","541.85","0"
"1999-08-12","553.31","0"
"1999-08-13","564.44","0"
"1999-08-16","566.43","0"
"1999-08-17","573.03","0"
"1999-08-18","570.1","0"
"1999-08-19","560.52","0"
"1999-08-20","564.54","0"
"1999-08-23","571.37","0"
"1999-08-24","572.62","0"
"1999-08-25","583.8","0"
"1999-08-26","586.11","0"
"1999-08-27","584.89","0"
"1999-08-30","584.36","0"
"1999-08-31","572.42","0"
"1999-09-01","572.33","0"
"1999-09-02","565","0"
"1999-09-03","578.63","0"
"1999-09-06","587.2","0"
"1999-09-07","586.57","0"
"1999-09-08","582.31","0"
"1999-09-09","587.4","0"
"1999-09-10","591.67","0"
"1999-09-13","587.59","0"
"1999-09-14","582.76","0"
"1999-09-15","582.84","0"
"1999-09-16","576.7","0"
"1999-09-17","572.12","0"
"1999-09-20","576.58","0"
"1999-09-21","564.74","0"
"1999-09-22","564.13","0"
"1999-09-23","565.48","0"
"1999-09-24","554.33","0"
"1999-09-27","562.4","0"
"1999-09-28","554.96","0"
"1999-09-29","554.21","0"
"1999-09-30","547.94","0"
"1999-10-01","539.08","0"
"1999-10-04","547.73","0"
"1999-10-05","553.26","0"
"1999-10-06","554.48","0"
"1999-10-07","555.77","0"
"1999-10-08","554.84","0"
"1999-10-11","559.77","0"
"1999-10-12","556.12","0"
"1999-10-13","552","0"
"1999-10-14","547.25","0"
"1999-10-15","537.97","0"
"1999-10-18","529.13","0"
"1999-10-19","538.41","0"
"1999-10-20","544.21","0"
"1999-10-21","537.59","0"
"1999-10-22","549.27","0"
"1999-10-25","547.82","0"
"1999-10-26","552.28","0"
"1999-10-27","552.39","0"
"1999-10-28","568.14","0"
"1999-10-29","571.82","0"
"1999-11-01","569.19","0"
"1999-11-02","568.99","0"
"1999-11-03","579.17","0"
"1999-11-04","584.76","0"
"1999-11-05","582.93","0"
"1999-11-08","582.13","0"
"1999-11-09","583.39","0"
"1999-11-10","587.18","0"
"1999-11-11","594.8","0"
"1999-11-12","589.87","0"
"1999-11-15","599.71","0"
"1999-11-16","604.11","0"
"1999-11-17","603.53","0"
"1999-11-18","607.63","0"
"1999-11-19","607.18","0"
"1999-11-22","601.57","0"
"1999-11-23","600.13","0"
"1999-11-24","598.97","0"
"1999-11-25","608.9","0"
"1999-11-26","610.01","0"
"1999-11-29","611.09","0"
"1999-11-30","602.11","0"
"1999-12-01","602.57","0"
"1999-12-02","606.18","0"
"1999-12-03","617.51","0"
"1999-12-06","611.75","0"
"1999-12-07","611.99","0"
"1999-12-08","610.55","0"
"1999-12-09","618.08","0"
"1999-12-10","619.35","0"
"1999-12-13","624.29","0"
"1999-12-14","625.64","0"
"1999-12-15","622.16","0"
"1999-12-16","627.85","0"
"1999-12-17","634.72","0"
"1999-12-20","643.52","0"
"1999-12-21","643.61","0"
"1999-12-22","653.65","0"
"1999-12-23","659.11","0"
"1999-12-24","660.43","0"
"1999-12-27","660.37","0"
"1999-12-28","658.48","0"
"1999-12-29","662.45","0"
"1999-12-30","671.41","0"
"2000-01-03","675.44","0"
"2000-01-04","642.25","0"
"2000-01-05","632.31","0"
"2000-01-06","624.21","0"
"2000-01-07","644.86","0"
"2000-01-10","655.14","0"
"2000-01-11","648.94","0"
"2000-01-12","638.4","0"
"2000-01-13","642.21","0"
"2000-01-14","655.6","0"
"2000-01-17","661.51","0"
"2000-01-18","647.72","0"
"2000-01-19","642.59","0"
"2000-01-20","644.79","0"
"2000-01-21","641.47","0"
"2000-01-24","645.53","0"
"2000-01-25","640.03","0"
"2000-01-26","637.39","0"
"2000-01-27","634.87","0"
"2000-01-28","632.46","0"
"2000-01-31","612.38","0"
