Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover
AALBERTS NV;NL0000852564;AALB;Euronext Amsterdam;EUR;38.30;38.76;37.93;38.61;01/12/2022 17:35;CET;221500;8515077.84
ABN AMRO BANK N.V.;NL0011540547;ABN;Euronext Amsterdam;EUR;12.265;12.29;12.02;12.02;01/12/2022 17:35;CET;2836973;34314228.885
ACCSYS;GB00BQQFX454;AXS;Euronext Amsterdam;EUR;0.75;0.774;0.745;0.774;01/12/2022 17:35;CET;272386;206731.605
ACOMO;NL0000313286;ACOMO;Euronext Amsterdam;EUR;19.48;19.94;19.44;19.80;01/12/2022 17:35;CET;39075;764637.54
ADUX;FR0012821890;ADUX;Euronext Paris, Amsterdam;EUR;1.495;1.495;1.46;1.495;01/12/2022 17:35;CET;697;1038.50
ADYEN;NL0012969182;ADYEN;Euronext Amsterdam;EUR;1515.00;1530.40;1484.40;1505.60;01/12/2022 17:35;CET;110793;167126258.60
AEDIFICA;BE0003851681;AED;Euronext Brussels, Amsterdam;EUR;76.45;77.30;75.60;75.90;01/12/2022 17:35;CET;84723;6457213.50
AEGON;NL0000303709;AGN;Euronext Amsterdam;EUR;4.67;4.763;4.64;4.731;01/12/2022 17:35;CET;9206232;43461107.251
AHOLD DEL;NL0011794037;AD;Euronext Amsterdam, Brussels;EUR;27.90;28.28;27.88;28.13;01/12/2022 17:35;CET;2407604;67666869.185
AIR FRANCE -KLM;FR0000031122;AF;Euronext Paris, Amsterdam;EUR;1.2965;1.3045;1.2705;1.2845;01/12/2022 17:35;CET;9475172;12180405.1245
AJAX;NL0000018034;AJAX;Euronext Amsterdam;EUR;11.60;11.65;11.40;11.40;01/12/2022 17:15;CET;990;11389.05
AKZO NOBEL;NL0013267909;AKZA;Euronext Amsterdam;EUR;68.78;69.52;66.38;67.40;01/12/2022 17:35;CET;882608;59594333.08
ALFEN;NL0012817175;ALFEN;Euronext Amsterdam;EUR;93.48;95.06;92.00;93.62;01/12/2022 17:35;CET;150235;14041207.70
ALLFUNDS GROUP;GB00BNTJ3546;ALLFG;Euronext Amsterdam;EUR;7.16;7.385;7.115;7.385;01/12/2022 17:35;CET;1871933;13695085.76
ALMUNDA PRO NV;NL0010696704;AMUND;Euronext Amsterdam;EUR;1.26;1.26;1.26;1.26;30/11/2022 15:46;CET;1;1.26
ALUMEXX N.V.;NL0012194724;ALX;Euronext Amsterdam;EUR;0.672;0.672;0.67;0.672;01/12/2022 17:06;CET;8169;5488.368
AMG;NL0000888691;AMG;Euronext Amsterdam;EUR;38.02;38.06;37.30;37.36;01/12/2022 17:35;CET;205503;7722483.42
APERAM;LU0569974404;APAM;Euronext Amsterdam, Brussels, Paris;EUR;30.41;30.66;29.62;29.66;01/12/2022 17:35;CET;358679;10806861.77
ARCADIS;NL0006237562;ARCAD;Euronext Amsterdam;EUR;39.02;39.30;38.48;38.74;01/12/2022 17:35;CET;118428;4591706.32
ARCELORMITTAL SA;LU1598757687;MT;Euronext Amsterdam, Paris;EUR;25.965;26.135;25.275;25.455;01/12/2022 17:35;CET;3871659;98756241.88
ASM INTERNATIONAL;NL0000334118;ASM;Euronext Amsterdam;EUR;268.80;276.85;268.50;273.50;01/12/2022 17:35;CET;380548;104041513.60
ASML HOLDING;NL0010273215;ASML;Euronext Amsterdam;EUR;585.00;585.00;573.70;582.20;01/12/2022 17:36;CET;842105;489781599.40
ASR NEDERLAND;NL0011872643;ASRNL;Euronext Amsterdam;EUR;43.42;44.04;42.95;43.77;01/12/2022 17:35;CET;410405;17939957.65
AVANTIUM;NL0012047823;AVTX;Euronext Amsterdam, Brussels;EUR;3.73;3.75;3.695;3.74;01/12/2022 17:35;CET;102420;381379.385
AZERION;NL00150006Z9;AZRN;Euronext Amsterdam;EUR;6.18;6.18;5.90;5.96;01/12/2022 17:35;CET;40376;243482.26
AZERION WARRANTS;NL00150007A0;AZRNW;Euronext Amsterdam;EUR;0.40;0.40;0.40;0.40;18/11/2022 14:33;CET;11936;4774.40
B&S Group;LU1789205884;BSGR;Euronext Amsterdam;EUR;5.12;5.25;5.12;5.20;01/12/2022 17:35;CET;44739;232944.76
BAM GROEP KON;NL0000337319;BAMNB;Euronext Amsterdam;EUR;2.27;2.296;2.226;2.25;01/12/2022 17:35;CET;1373739;3101090.662
BASIC-FIT;NL0011872650;BFIT;Euronext Amsterdam;EUR;26.00;26.42;25.44;25.60;01/12/2022 17:35;CET;191444;4937448.78
BE SEMICONDUCTOR;NL0012866412;BESI;Euronext Amsterdam;EUR;62.48;63.88;62.22;63.76;01/12/2022 17:35;CET;1055367;66760067.02
BENEVOLENTAI;LU2355630455;BAI;Euronext Amsterdam;EUR;3.94;4.00;3.94;4.00;21/11/2022 12:38;CET;19;75.46
BENEVOLENTAI W;LU2355630968;BAIW;Euronext Amsterdam;EUR;0.37;0.37;0.37;0.37;09/05/2022 14:34;CET;29815;11031.55
BETER BED;NL0000339703;BBED;Euronext Amsterdam;EUR;2.91;2.91;2.82;2.86;01/12/2022 17:29;CET;34646;99360.38
BEVER HOLDING;NL0000285278;BEVER;Euronext Amsterdam;EUR;3.60;3.60;3.60;3.60;29/11/2022 11:30;CET;87;313.20
BOUSSARD GAVAUDAN;GG00B1FQG453;BGHL;Euronext Amsterdam;EUR;22.00;22.40;22.00;22.40;01/12/2022 17:35;CET;5049;111841.60
BOUSSARD GHL GBP;GG00B39VMM07;BGHS;Euronext Amsterdam;GBP;10.00;10.00;10.00;10.00;21/12/2010 11:50;CET;188;2210.99
BRIGADE M3 SHA;KYG137071075;BACE;Euronext Amsterdam;USD;9.80;9.80;9.80;9.80;23/11/2022 17:35;CET;632;6193.60
BRIGADE M3 UNITS;KYG137071158;BACEU;Euronext Amsterdam;USD;9.85;9.85;9.85;9.85;01/12/2022 14:36;CET;9069;89329.65
BRIGADE M3 WARR;KYG137071232;BACEW;Euronext Amsterdam;USD;-;-;-;-;-;CET;-;-
BRILL KON;NL0000442523;BRILL;Euronext Amsterdam;EUR;16.80;17.30;16.80;17.30;01/12/2022 16:42;CET;2904;49258.00
BRUNEL INTERNAT;NL0010776944;BRNL;Euronext Amsterdam;EUR;9.79;9.84;9.69;9.74;01/12/2022 17:35;CET;12930;126441.24
CABKA;NL00150000S7;CABKA;Euronext Amsterdam;EUR;6.94;6.94;6.90;6.90;01/12/2022 14:49;CET;5000;34500.40
CABKA DSC2 TS;NL00150002R5;DSC2S;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-
CABKA EUR 12W;NL00150000U3;DSCW2;Euronext Amsterdam;EUR;0.065;0.065;0.065;0.065;30/11/2022 11:09;CET;200;13.00
CABKA EUR 13W;NL00150000V1;DSCW3;Euronext Amsterdam;EUR;0.074;0.074;0.074;0.074;30/11/2022 11:10;CET;200;14.80
CM.COM;NL0012747059;CMCOM;Euronext Amsterdam;EUR;13.51;14.13;13.44;13.60;01/12/2022 17:35;CET;75849;1042458.23
Coca-ColaEuropacif;GB00BDCPN049;CCEP;Euronext Amsterdam;EUR;51.30;51.30;50.40;51.10;01/12/2022 17:35;CET;17161;873580.45
CORBION;NL0010583399;CRBN;Euronext Amsterdam;EUR;30.74;33.10;30.60;33.10;01/12/2022 17:38;CET;150524;4873319.96
CORE LABORATORIES;NL0000200384;CLB;Euronext Amsterdam;EUR;20.20;21.00;19.40;20.80;01/12/2022 17:27;CET;5700;116462.10
CRYSTAL PEAK SHARE;KYG2581M1078;CPA1;Euronext Amsterdam;USD;10.00;10.00;10.00;10.00;31/10/2022 13:46;CET;10;100.00
CRYSTAL PEAK WAR;KYG2581M1151;CPA1W;Euronext Amsterdam;USD;0.50;0.50;0.50;0.50;25/06/2021 12:07;CET;5000;2500.00
CTAC;NL0000345577;CTAC;Euronext Amsterdam;EUR;3.36;3.36;3.33;3.36;01/12/2022 16:08;CET;4477;15002.72
CTC ORD SHARES;NL0015000DC9;CTCA1;Euronext Amsterdam;EUR;9.85;9.85;9.85;9.85;07/11/2022 16:46;CET;4;39.40
CTC TREAS SHARES;NL0015000F09;CTCT1;Euronext Amsterdam;EUR;-;-;-;-;-;CET;-;-
CTC WARRANTS;NL0015000DD7;CTCW1;Euronext Amsterdam;EUR;0.091;0.091;0.091;0.091;13/07/2022 11:15;CET;9895;900.45
CTP;NL00150006R6;CTPNV;Euronext Amsterdam;EUR;10.60;10.80;10.42;10.44;01/12/2022 17:35;CET;151685;1599423.62
DGB GROUP N.V.;NL0009169515;DGB;Euronext Amsterdam;EUR;0.952;0.972;0.952;0.972;01/12/2022 17:29;CET;1731;1648.212
DISRUPTIVE CAP SHA;GG00BMB5XZ39;DCACS;Euronext Amsterdam;GBP;10.10;10.10;10.10;10.10;01/12/2022 14:36;CET;2775;28027.50
DISRUPTIVE CAP WAR;GG00BMB5XY22;DCACW;Euronext Amsterdam;GBP;0.22;0.22;0.22;0.22;01/12/2022 14:48;CET;20000;4400.00
DSM KON;NL0000009827;DSM;Euronext Amsterdam;EUR;124.25;127.15;123.15;124.25;01/12/2022 17:35;CET;514124;64236491.90
