,Ticker Yahoo,Environment Score,Social Score,Governance Score,Total Score
0,AALB.AS,,,,
1,ACOMO.AS,,,,
2,AD.AS,6.82,9.63,4.35,20.8
3,AGN.AS,0.51,7.74,6.63,14.88
4,AJAX.AS,,,,
5,AKZA.AS,6.93,4.43,5.37,16.73
6,ALX.AS,,,,
7,AMG.AS,,,,
8,AMUND.AS,,,,
9,ARCAD.AS,,,,
10,ASM.AS,,,,
11,ASML.AS,3.57,2.59,4.76,10.91
12,AXS.AS,,,,
13,BAMNB.AS,,,,
14,BBED.AS,,,,
15,BESI.AS,,,,
16,BGHL.AS,,,,
17,BRILL.AS,,,,
18,BRNL.AS,,,,
19,CRBN.AS,,,,
20,CTAC.AS,,,,
21,DGB.AS,,,,
22,DSM.AS,9.86,4.77,5.32,19.94
23,EAS2P.AS,,,,
24,FUR.AS,,,,
25,GLPG.AS,,,,
26,GOJXN.AS,,,,
27,HAL.AS,,,,
28,HEIA.AS,5.63,7.06,6.55,19.24
29,HEIJM.AS,,,,
30,HEIO.AS,5.9,7.26,7.92,21.09
31,HOLCO.AS,,,,
32,HYDRA.AS,,,,
33,IEX.AS,,,,
34,INGA.AS,1.32,11.94,9.01,22.27
35,KENDR.AS,,,,
36,KPN.AS,3.49,8.56,5.51,17.56
37,LVIDE.AS,,,,
38,MT.AS,15.87,14.87,6.54,37.28
39,NEDAP.AS,,,,
40,NEDSE.AS,,,,
41,NSE.AS,,,,
42,NSI.AS,,,,
43,ORDI.AS,,,,
44,PHARM.AS,,,,
45,PHIA.AS,0.85,14.08,8.48,23.4
46,PNL.AS,,,,
47,PORF.AS,,,,
48,RAND.AS,0.03,7.1,3.74,10.87
49,REN.AS,0.02,1.87,3.35,5.24
50,ROOD.AS,,,,
51,SBMO.AS,,,,
52,SHELL.AS,19.63,7.83,7.38,34.84
53,SLIGR.AS,,,,
54,SNOW.AS,,,,
55,TIE.AS,,,,
56,TOM2.AS,,,,
57,TWEKA.AS,,,,
58,URW.AS,0.05,1.14,3.49,4.67
59,VALUE.AS,,,,
60,VASTN.AS,,,,
61,VLK.AS,,,,
62,VPK.AS,10.56,8.74,3.75,23.05
63,VTA.AS,,,,
64,WHA.AS,,,,
65,WKL.AS,4.02,9.77,4.17,17.96
