Date,Portfolio
2010-01-04,-1.8004433400034903
2010-01-05,-1.7941860379576684
2010-01-06,-1.7708419145941736
2010-01-07,-1.8496889041066173
2010-01-08,-1.8843802579641349
2010-01-11,-1.863612503230572
2010-01-12,-1.7792727877497676
2010-01-13,-1.763517148435116
2010-01-14,-1.836769442439079
2010-01-15,-1.7810619900822637
2010-01-18,-1.758672825336456
2010-01-19,-1.8206120541095736
2010-01-20,-1.679725288212299
2010-01-21,-1.569935963928699
2010-01-22,-1.5772111998796463
2010-01-25,-1.5781573936939246
2010-01-26,-1.5215958023071297
2010-01-27,-1.4624683510065077
2010-01-28,-1.3909449563622471
2010-01-29,-1.4332120168209075
2010-02-01,-1.486762014508247
2010-02-02,-1.5323413677215576
2010-02-03,-1.49194922888279
2010-02-04,-1.4188512672781946
2010-02-05,-1.367891745150089
2010-02-08,-1.4079573582410805
2010-02-09,-1.4487659712433818
2010-02-10,-1.3014208738803859
2010-02-11,-1.320779233634471
2010-02-12,-1.3122489222288134
2010-02-15,-1.3448717550635336
2010-02-16,-1.4136865245699883
2010-02-17,-1.3912630116343494
2010-02-18,-1.4341512894034387
2010-02-19,-1.4356050934195523
2010-02-22,-1.4564668194651602
2010-02-23,-1.3973356281518936
2010-02-24,-1.413587374866009
2010-02-25,-1.371943645656109
2010-02-26,-1.3892557808160784
2010-03-01,-1.3970138876438145
2010-03-02,-1.4388100541234017
2010-03-03,-1.509191796720028
2010-03-04,-1.5001435892581942
2010-03-05,-1.5780862338542936
2010-03-08,-1.5663223738074306
2010-03-09,-1.5746975225210185
2010-03-10,-1.5748486268520352
2010-03-11,-1.5217373032569883
2010-03-12,-1.5630446312427522
2010-03-15,-1.5242989753484728
2010-03-16,-1.5706745550632473
2010-03-17,-1.6245863709449768
2010-03-18,-1.6254014849662781
2010-03-19,-1.5807107310295105
2010-03-22,-1.5565409007072448
2010-03-23,-1.5738663277029994
2010-03-24,-1.5802538555860521
2010-03-25,-1.6565153290033343
2010-03-26,-1.6434102988839152
2010-03-29,-1.673735286653042
2010-03-30,-1.6284649948477747
2010-03-31,-1.6021333565711973
2010-04-01,-1.6963294316530226
2010-04-05,0.0
2010-04-06,-1.7940123848915095
2010-04-07,-1.7714431970119484
2010-04-08,-1.7234348418712617
2010-04-09,-1.7316655457019805
2010-04-12,-1.7289047791957857
2010-04-13,-1.7184007709026334
2010-04-14,-1.7631949565410614
2010-04-15,-1.7494414201974866
2010-04-16,-1.6367219142913818
2010-04-19,-1.6025672241449358
2010-04-20,-1.622628443837166
2010-04-21,-1.5724134171009068
2010-04-22,-1.5290364876985554
2010-04-23,-1.5514056676626204
2010-04-26,-1.6137262930870062
2010-04-27,-1.5421920412778856
2010-04-28,-1.5546679264307022
2010-04-29,-1.529865310430527
2010-04-30,-1.4433688486814498
2010-05-03,-1.421733908057213
2010-05-04,-1.3268842256069184
2010-05-05,-1.3304772855043414
2010-05-06,-1.3209085508584975
2010-05-07,-1.26997650372982
2010-05-10,-1.4224281330108641
2010-05-11,-1.3541571682691573
2010-05-12,-1.3092262872457505
2010-05-13,-1.3338110736608508
2010-05-14,-1.1960359654426576
2010-05-17,-1.1353153922557828
2010-05-18,-1.1685446048974992
2010-05-19,-1.0829030320644384
2010-05-20,-1.0238401529788972
2010-05-21,-1.0772590799331665
2010-05-24,-1.0267003753185273
2010-05-25,-1.009707304060459
2010-05-26,-1.0892304114699363
2010-05-27,-1.1506417446136477
2010-05-28,-1.112981237649918
2010-05-31,-1.1260344247817995
2010-06-01,-1.0616360701918601
2010-06-02,-1.0430760940313337
2010-06-03,-0.9871149412393571
2010-06-04,-0.9310979804396631
2010-06-07,-0.8932561100125314
